n: 100; mi: 0.8; offspring_n = 80 ;selection: reproduce_by_offspring, crossover: discrete_crossover mean_mse: 0.197678; std_mse: 0.000004; mean_time: 3.899396, std_time: 0.395800
n: 100; mi: 0.9; offspring_n = 90 ;selection: reproduce_by_offspring, crossover: discrete_crossover mean_mse: 0.197676; std_mse: 0.000003; mean_time: 4.319471, std_time: 0.418993
n: 250; mi: 0.5; offspring_n = 125 ;selection: reproduce_by_offspring, crossover: discrete_crossover mean_mse: 0.197674; std_mse: 0.000002; mean_time: 9.204538, std_time: 1.121163
n: 250; mi: 0.7; offspring_n = 175 ;selection: reproduce_by_offspring, crossover: discrete_crossover mean_mse: 0.197676; std_mse: 0.000002; mean_time: 9.031161, std_time: 0.833221
n: 250; mi: 0.8; offspring_n = 200 ;selection: reproduce_by_offspring, crossover: discrete_crossover mean_mse: 0.197676; std_mse: 0.000004; mean_time: 9.085765, std_time: 0.655008
n: 250; mi: 0.9; offspring_n = 225 ;selection: reproduce_by_offspring, crossover: discrete_crossover mean_mse: 0.197676; std_mse: 0.000004; mean_time: 10.109691, std_time: 0.839378
n: 300; mi: 0.5; offspring_n = 150 ;selection: reproduce_by_offspring, crossover: discrete_crossover mean_mse: 0.197676; std_mse: 0.000002; mean_time: 10.896941, std_time: 1.664747
n: 300; mi: 0.7; offspring_n = 210 ;selection: reproduce_by_offspring, crossover: discrete_crossover mean_mse: 0.197676; std_mse: 0.000003; mean_time: 10.905284, std_time: 1.361724
n: 300; mi: 0.8; offspring_n = 240 ;selection: reproduce_by_offspring, crossover: discrete_crossover mean_mse: 0.197676; std_mse: 0.000003; mean_time: 11.746669, std_time: 1.556715
n: 300; mi: 0.9; offspring_n = 270 ;selection: reproduce_by_offspring, crossover: discrete_crossover mean_mse: 0.197674; std_mse: 0.000002; mean_time: 13.233694, std_time: 1.359897
n: 500; mi: 0.5; offspring_n = 250 ;selection: reproduce_by_offspring, crossover: discrete_crossover mean_mse: 0.197673; std_mse: 0.000001; mean_time: 17.710359, std_time: 2.204877
n: 500; mi: 0.7; offspring_n = 350 ;selection: reproduce_by_offspring, crossover: discrete_crossover mean_mse: 0.197674; std_mse: 0.000002; mean_time: 19.121729, std_time: 1.792909
n: 500; mi: 0.8; offspring_n = 400 ;selection: reproduce_by_offspring, crossover: discrete_crossover mean_mse: 0.197674; std_mse: 0.000001; mean_time: 18.935028, std_time: 1.193863
n: 500; mi: 0.9; offspring_n = 450 ;selection: reproduce_by_offspring, crossover: discrete_crossover mean_mse: 0.197675; std_mse: 0.000002; mean_time: 18.657833, std_time: 2.222170
n: 100; mi: 0.5; offspring_n = 50 ;selection: reproduce_by_sum, crossover: intermediate_crossover mean_mse: 75.424; std_mse: 25.186; mean_time: 0.056, std_time: 0.013
n: 100; mi: 0.7; offspring_n = 70 ;selection: reproduce_by_sum, crossover: intermediate_crossover mean_mse: 91.963; std_mse: 21.209; mean_time: 0.046, std_time: 0.007
n: 100; mi: 0.8; offspring_n = 80 ;selection: reproduce_by_sum, crossover: intermediate_crossover mean_mse: 89.576; std_mse: 20.867; mean_time: 0.050, std_time: 0.009
n: 100; mi: 0.9; offspring_n = 90 ;selection: reproduce_by_sum, crossover: intermediate_crossover mean_mse: 86.098; std_mse: 8.136; mean_time: 0.054, std_time: 0.014
n: 250; mi: 0.5; offspring_n = 125 ;selection: reproduce_by_sum, crossover: intermediate_crossover mean_mse: 67.527; std_mse: 23.185; mean_time: 0.139, std_time: 0.035
n: 250; mi: 0.7; offspring_n = 175 ;selection: reproduce_by_sum, crossover: intermediate_crossover mean_mse: 62.058; std_mse: 29.848; mean_time: 0.111, std_time: 0.023
n: 250; mi: 0.8; offspring_n = 200 ;selection: reproduce_by_sum, crossover: intermediate_crossover mean_mse: 58.396; std_mse: 30.095; mean_time: 0.128, std_time: 0.039
n: 250; mi: 0.9; offspring_n = 225 ;selection: reproduce_by_sum, crossover: intermediate_crossover mean_mse: 66.371; std_mse: 14.898; mean_time: 0.149, std_time: 0.040
n: 300; mi: 0.5; offspring_n = 150 ;selection: reproduce_by_sum, crossover: intermediate_crossover mean_mse: 57.226; std_mse: 29.029; mean_time: 0.134, std_time: 0.032
n: 300; mi: 0.7; offspring_n = 210 ;selection: reproduce_by_sum, crossover: intermediate_crossover mean_mse: 62.705; std_mse: 30.799; mean_time: 0.146, std_time: 0.023
n: 300; mi: 0.8; offspring_n = 240 ;selection: reproduce_by_sum, crossover: intermediate_crossover mean_mse: 83.107; std_mse: 11.326; mean_time: 0.130, std_time: 0.022
n: 300; mi: 0.9; offspring_n = 270 ;selection: reproduce_by_sum, crossover: intermediate_crossover mean_mse: 82.741; std_mse: 8.292; mean_time: 0.137, std_time: 0.030
n: 500; mi: 0.5; offspring_n = 250 ;selection: reproduce_by_sum, crossover: intermediate_crossover mean_mse: 61.597; std_mse: 20.965; mean_time: 0.254, std_time: 0.045
n: 500; mi: 0.7; offspring_n = 350 ;selection: reproduce_by_sum, crossover: intermediate_crossover mean_mse: 44.910; std_mse: 25.839; mean_time: 0.233, std_time: 0.062
